GO ID,DO name,asimov genes, menchelab genes, both sets equal?
GO:0050997,quaternary ammonium group binding,0,24,FALSE
GO:0035091,phosphatidylinositol binding,184,187,FALSE
GO:0050839,cell adhesion molecule binding,333,413,FALSE
GO:0005515,protein binding,4076,4349,FALSE
GO:0045296,cadherin binding,300,307,FALSE
GO:0003779,actin binding,239,251,FALSE
GO:0044877,protein-containing complex binding,361,660,FALSE
GO:0051015,actin filament binding,130,135,FALSE
GO:0008092,cytoskeletal protein binding,583,608,FALSE
GO:0046873,metal ion transmembrane transporter activity,53,392,FALSE
GO:0015075,ion transmembrane transporter activity,540,799,FALSE
GO:0015291,secondary active transmembrane transporter activity,18,179,FALSE
GO:0008324,cation transmembrane transporter activity,181,570,FALSE
GO:0022890,inorganic cation transmembrane transporter activity,148,519,FALSE
GO:0015318,inorganic molecular entity transmembrane transporter activity,10,756,FALSE
GO:0015081,sodium ion transmembrane transporter activity,21,135,FALSE
GO:0015294,solute:cation symporter activity,0,91,FALSE
GO:0005215,transporter activity,925,1101,FALSE
GO:0022804,active transmembrane transporter activity,62,287,FALSE
GO:0022857,transmembrane transporter activity,730,929,FALSE
GO:0015293,symporter activity,0,93,FALSE
GO:0015077,monovalent inorganic cation transmembrane transporter activity,99,334,FALSE
GO:0015370,solute:sodium symporter activity,8,60,FALSE
GO:0000287,magnesium ion binding,132,133,FALSE
GO:0035252,UDP-xylosyltransferase activity,9,9,TRUE
GO:0016763,transferase activity; transferring pentosyl groups,42,49,FALSE
GO:0042285,xylosyltransferase activity,2,9,FALSE
GO:0008194,UDP-glycosyltransferase activity,111,135,FALSE
GO:0016757,transferase activity; transferring glycosyl groups,223,255,FALSE
GO:0005096,GTPase activator activity,193,206,FALSE
GO:0030695,GTPase regulator activity,20,236,FALSE
GO:0008047,enzyme activator activity,392,411,FALSE
GO:0060589,nucleoside-triphosphatase regulator activity,21,276,FALSE
GO:0098772,molecular function regulator,865,1492,FALSE
GO:0030234,enzyme regulator activity,764,805,FALSE
GO:0043539,protein serine/threonine kinase activator activity,25,26,FALSE
GO:0030295,protein kinase activator activity,65,70,FALSE
GO:0019887,protein kinase regulator activity,56,159,FALSE
GO:0019209,kinase activator activity,69,74,FALSE
GO:0019207,kinase regulator activity,74,184,FALSE
GO:0019904,protein domain specific binding,149,154,FALSE
GO:0050700,CARD domain binding,4,4,TRUE
GO:0070513,death domain binding,1,4,FALSE
GO:0051400,BH domain binding,2,2,TRUE
GO:0051434,BH3 domain binding,2,2,TRUE
GO:0005229,intracellular calcium activated chloride channel activity,14,18,FALSE
GO:0022803,passive transmembrane transporter activity,49,420,FALSE
GO:0061778,intracellular chloride channel activity,0,18,FALSE
GO:0005253,anion channel activity,53,76,FALSE
GO:0015103,inorganic anion transmembrane transporter activity,45,136,FALSE
GO:0005254,chloride channel activity,45,63,FALSE
GO:0022838,substrate-specific channel activity,0,400,FALSE
GO:0015108,chloride transmembrane transporter activity,11,84,FALSE
GO:0022836,gated channel activity,26,287,FALSE
GO:0005216,ion channel activity,305,385,FALSE
GO:0015267,channel activity,48,419,FALSE
GO:0008509,anion transmembrane transporter activity,79,308,FALSE
GO:0022839,ion gated channel activity,14,279,FALSE
GO:0004601,peroxidase activity,45,47,FALSE
GO:0016684,oxidoreductase activity; acting on peroxide as acceptor,6,51,FALSE
GO:0016209,antioxidant activity,62,72,FALSE
GO:0048037,cofactor binding,53,274,FALSE
GO:0020037,heme binding,77,83,FALSE
GO:0046906,tetrapyrrole binding,77,88,FALSE
GO:0061650,ubiquitin-like protein conjugating enzyme activity,0,40,FALSE
GO:0061631,ubiquitin conjugating enzyme activity,38,39,FALSE
GO:0004312,fatty acid synthase activity,10,11,FALSE
GO:0016746,transferase activity; transferring acyl groups,213,236,FALSE
GO:0009922,fatty acid elongase activity,7,7,TRUE
GO:0016747,transferase activity; transferring acyl groups other than amino-acyl groups,193,214,FALSE
GO:0001968,fibronectin binding,16,16,TRUE
GO:0038024,cargo receptor activity,35,47,FALSE
GO:0005044,scavenger receptor activity,18,18,TRUE
GO:0050840,extracellular matrix binding,16,36,FALSE
GO:0043236,laminin binding,21,21,TRUE
GO:0010314,phosphatidylinositol-5-phosphate binding,10,10,TRUE
GO:1901981,phosphatidylinositol phosphate binding,124,126,FALSE
GO:0032266,phosphatidylinositol-3-phosphate binding,29,29,TRUE
GO:0042169,SH2 domain binding,17,17,TRUE
GO:0080025,phosphatidylinositol-3;5-bisphosphate binding,21,21,TRUE
GO:1902936,phosphatidylinositol bisphosphate binding,82,84,FALSE
GO:0016787,hydrolase activity,1871,2091,FALSE
GO:0016798,hydrolase activity; acting on glycosyl bonds,95,100,FALSE
GO:0019213,deacetylase activity,17,53,FALSE
GO:0000149,SNARE binding,77,79,FALSE
GO:0016773,phosphotransferase activity; alcohol group as acceptor,32,718,FALSE
GO:0047992,hydroxylysine kinase activity,1,1,TRUE
GO:0016772,transferase activity; transferring phosphorus-containing groups,883,906,FALSE
GO:0016301,kinase activity,706,771,FALSE
GO:0008017,microtubule binding,194,200,FALSE
GO:0015631,tubulin binding,259,269,FALSE
GO:0042803,protein homodimerization activity,467,502,FALSE
GO:0042802,identical protein binding,611,661,FALSE
GO:0046983,protein dimerization activity,201,634,FALSE
GO:0000049,tRNA binding,37,39,FALSE
GO:0005506,iron ion binding,48,53,FALSE
GO:0046914,transition metal ion binding,407,425,FALSE
GO:0051213,dioxygenase activity,1,68,FALSE
GO:0016706,oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen; 2-oxoglutarate as one donor; and incorporation of one atom each of oxygen into both donors,43,45,FALSE
GO:0017016,Ras GTPase binding,174,407,FALSE
GO:0005085,guanyl-nucleotide exchange factor activity,283,290,FALSE
GO:0051020,GTPase binding,443,463,FALSE
GO:0017112,Rab guanyl-nucleotide exchange factor activity,51,51,TRUE
GO:0017137,Rab GTPase binding,97,147,FALSE
GO:0019899,enzyme binding,890,986,FALSE
GO:0005088,Ras guanyl-nucleotide exchange factor activity,229,235,FALSE
GO:0031267,small GTPase binding,184,413,FALSE
GO:0016853,isomerase activity,117,128,FALSE
GO:0016854,racemase and epimerase activity,17,19,FALSE
GO:0016857,racemase and epimerase activity; acting on carbohydrates and derivatives,11,12,FALSE
GO:0042806,fucose binding,5,5,TRUE
GO:0048029,monosaccharide binding,40,41,FALSE
GO:0030246,carbohydrate binding,64,75,FALSE
GO:0036094,small molecule binding,390,897,FALSE
GO:0016887,ATPase activity,230,400,FALSE
GO:0016817,hydrolase activity; acting on acid anhydrides,599,710,FALSE
GO:0016818,hydrolase activity; acting on acid anhydrides; in phosphorus-containing anhydrides,599,710,FALSE
GO:0017111,nucleoside-triphosphatase activity,551,659,FALSE
GO:0016462,pyrophosphatase activity,597,708,FALSE
GO:0070567,cytidylyltransferase activity,8,9,FALSE
GO:0016779,nucleotidyltransferase activity,111,113,FALSE
GO:0047349,D-ribitol-5-phosphate cytidylyltransferase activity,0,1,FALSE
GO:0042277,peptide binding,143,216,FALSE
GO:0001540,amyloid-beta binding,43,45,FALSE
GO:0033218,amide binding,148,255,FALSE
GO:0035014,phosphatidylinositol 3-kinase regulator activity,16,17,FALSE
GO:0001871,pattern binding,6,7,FALSE
GO:0030247,polysaccharide binding,6,7,FALSE
GO:0008233,peptidase activity,465,531,FALSE
GO:0005086,ARF guanyl-nucleotide exchange factor activity,13,13,TRUE
GO:0022834,ligand-gated channel activity,7,137,FALSE
GO:0005230,extracellular ligand-gated ion channel activity,53,70,FALSE
GO:0060089,molecular transducer activity,818,1255,FALSE
GO:0030594,neurotransmitter receptor activity,38,101,FALSE
GO:0022850,serotonin-gated cation-selective channel activity,5,5,TRUE
GO:0099094,ligand-gated cation channel activity,0,99,FALSE
GO:0022824,transmitter-gated ion channel activity,15,45,FALSE
GO:0022835,transmitter-gated channel activity,0,45,FALSE
GO:0015276,ligand-gated ion channel activity,91,137,FALSE
GO:0005261,cation channel activity,192,288,FALSE
GO:0038023,signaling receptor activity,809,1200,FALSE
GO:0030331,estrogen receptor binding,20,20,TRUE
GO:0035258,steroid hormone receptor binding,50,50,TRUE
GO:0035257,nuclear hormone receptor binding,87,87,TRUE
GO:0008134,transcription factor binding,331,340,FALSE
GO:0051427,hormone receptor binding,10,107,FALSE
GO:0005102,signaling receptor binding,794,958,FALSE
GO:0005198,structural molecule activity,574,615,FALSE
GO:0032947,protein-containing complex scaffold activity,72,77,FALSE
GO:0042974,retinoic acid receptor binding,14,14,TRUE
GO:0004532,exoribonuclease activity,15,39,FALSE
GO:0016896,exoribonuclease activity; producing 5'-phosphomonoesters,1,34,FALSE
GO:0004540,ribonuclease activity,34,105,FALSE
GO:0004518,nuclease activity,171,180,FALSE
GO:0008408,3'-5' exonuclease activity,55,55,TRUE
GO:0016796,exonuclease activity; active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters,0,52,FALSE
GO:0004535,poly(A)-specific ribonuclease activity,12,12,TRUE
GO:0000175,3'-5'-exoribonuclease activity,32,32,TRUE
GO:0016788,hydrolase activity; acting on ester bonds,597,637,FALSE
GO:0140098,catalytic activity; acting on RNA,5,321,FALSE
GO:0004527,exonuclease activity,79,79,TRUE
GO:0016881,acid-amino acid ligase activity,16,16,TRUE
GO:0047730,carnosine synthase activity,1,1,TRUE
GO:0016879,ligase activity; forming carbon-nitrogen bonds,43,44,FALSE
GO:0003682,chromatin binding,268,345,FALSE
GO:0072341,modified amino acid binding,6,71,FALSE
GO:0005542,folic acid binding,6,7,FALSE
GO:0043177,organic acid binding,8,144,FALSE
GO:0031406,carboxylic acid binding,56,134,FALSE
GO:0019842,vitamin binding,8,56,FALSE
GO:0008144,drug binding,425,458,FALSE
GO:0042578,phosphoric ester hydrolase activity,267,317,FALSE
GO:0004721,phosphoprotein phosphatase activity,148,150,FALSE
GO:0016791,phosphatase activity,229,239,FALSE
GO:0004725,protein tyrosine phosphatase activity,64,65,FALSE
GO:0008967,phosphoglycolate phosphatase activity,2,2,TRUE
GO:0043136,glycerol-3-phosphatase activity,1,1,TRUE
GO:0098519,nucleotide phosphatase activity; acting on free nucleotides,3,3,TRUE
GO:0070011,peptidase activity; acting on L-amino acid peptides,448,513,FALSE
GO:0008237,metallopeptidase activity,56,144,FALSE
GO:0004222,metalloendopeptidase activity,63,68,FALSE
GO:0004175,endopeptidase activity,302,343,FALSE
GO:0017147,Wnt-protein binding,33,35,FALSE
GO:0044325,ion channel binding,38,39,FALSE
GO:0070840,dynein complex binding,15,16,FALSE
GO:0005319,lipid transporter activity,103,118,FALSE
GO:0046624,sphingolipid transporter activity,2,10,FALSE
GO:0016829,lyase activity,117,145,FALSE
GO:0016831,carboxy-lyase activity,23,26,FALSE
GO:0016830,carbon-carbon lyase activity,39,42,FALSE
GO:0016597,amino acid binding,31,42,FALSE
GO:0034618,arginine binding,7,7,TRUE
GO:0001228,DNA-binding transcription activator activity; RNA polymerase II-specific,134,327,FALSE
GO:0047613,aconitate decarboxylase activity,0,1,FALSE
GO:0033819,lipoyl(octanoyl) transferase activity,0,1,FALSE
GO:0005179,hormone activity,66,72,FALSE
GO:0030545,receptor regulator activity,8,360,FALSE
GO:0048018,receptor ligand activity,290,322,FALSE
GO:0035254,glutamate receptor binding,17,24,FALSE
GO:0035255,ionotropic glutamate receptor binding,13,14,FALSE
GO:0005201,extracellular matrix structural constituent,125,137,FALSE
GO:0030020,extracellular matrix structural constituent conferring tensile strength,24,28,FALSE
GO:0004843,thiol-dependent ubiquitin-specific protease activity,85,99,FALSE
GO:0101005,ubiquitinyl hydrolase activity,21,115,FALSE
GO:0008234,cysteine-type peptidase activity,125,177,FALSE
GO:0019783,ubiquitin-like protein-specific protease activity,106,120,FALSE
GO:0036459,thiol-dependent ubiquitinyl hydrolase activity,97,111,FALSE
GO:0061578,Lys63-specific deubiquitinase activity,12,12,TRUE
GO:1990380,Lys48-specific deubiquitinase activity,11,11,TRUE
GO:0003729,mRNA binding,204,209,FALSE
GO:0043014,alpha-tubulin binding,26,26,TRUE
GO:0061134,peptidase regulator activity,0,150,FALSE
GO:0004857,enzyme inhibitor activity,252,273,FALSE
GO:0030414,peptidase inhibitor activity,111,117,FALSE
GO:0019902,phosphatase binding,63,64,FALSE
GO:0004890,GABA-A receptor activity,16,19,FALSE
GO:0016917,GABA receptor activity,19,22,FALSE
GO:0004888,transmembrane signaling receptor activity,573,1003,FALSE
GO:0003924,GTPase activity,211,217,FALSE
GO:0032561,guanyl ribonucleotide binding,1,195,FALSE
GO:0032555,purine ribonucleotide binding,2,490,FALSE
GO:0005525,GTP binding,166,171,FALSE
GO:0017076,purine nucleotide binding,65,504,FALSE
GO:0097367,carbohydrate derivative binding,120,695,FALSE
GO:0019001,guanyl nucleotide binding,2,196,FALSE
GO:0035639,purine ribonucleoside triphosphate binding,1,431,FALSE
GO:0001882,nucleoside binding,183,188,FALSE
GO:0032550,purine ribonucleoside binding,178,183,FALSE
GO:0001883,purine nucleoside binding,179,184,FALSE
GO:0032549,ribonucleoside binding,0,184,FALSE
GO:0000166,nucleotide binding,197,642,FALSE
GO:0032553,ribonucleotide binding,11,501,FALSE
GO:1901265,nucleoside phosphate binding,0,643,FALSE
GO:0030395,lactose binding,1,2,FALSE
GO:0070492,oligosaccharide binding,11,13,FALSE
GO:0048030,disaccharide binding,2,3,FALSE
GO:0016741,transferase activity; transferring one-carbon groups,168,177,FALSE
GO:0016278,lysine N-methyltransferase activity,3,56,FALSE
GO:0008168,methyltransferase activity,158,167,FALSE
GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,22,144,FALSE
GO:0008170,N-methyltransferase activity,22,86,FALSE
GO:0008276,protein methyltransferase activity,71,81,FALSE
GO:0016279,protein-lysine N-methyltransferase activity,50,55,FALSE
GO:0016289,CoA hydrolase activity,19,19,TRUE
GO:0047617,acyl-CoA hydrolase activity,17,17,TRUE
GO:0016790,thiolester hydrolase activity,28,30,FALSE
GO:0005267,potassium channel activity,77,113,FALSE
GO:0015079,potassium ion transmembrane transporter activity,22,149,FALSE
GO:0005546,phosphatidylinositol-4;5-bisphosphate binding,58,60,FALSE
GO:0005547,phosphatidylinositol-3;4;5-trisphosphate binding,32,32,TRUE
GO:0043325,phosphatidylinositol-3;4-bisphosphate binding,22,22,TRUE
GO:0016836,hydro-lyase activity,44,51,FALSE
GO:0016835,carbon-oxygen lyase activity,52,60,FALSE
GO:0080023,3R-hydroxyacyl-CoA dehydratase activity,2,2,TRUE
GO:0017124,SH3 domain binding,29,30,FALSE
GO:0032451,demethylase activity,30,38,FALSE
GO:0032452,histone demethylase activity,27,29,FALSE
GO:0032454,histone demethylase activity (H3-K9 specific),12,14,FALSE
GO:0022843,voltage-gated cation channel activity,3,124,FALSE
GO:0022832,voltage-gated channel activity,12,143,FALSE
GO:0005242,inward rectifier potassium channel activity,16,21,FALSE
GO:0005244,voltage-gated ion channel activity,12,143,FALSE
GO:0005249,voltage-gated potassium channel activity,62,80,FALSE
GO:0008308,voltage-gated anion channel activity,4,17,FALSE
GO:0004303,estradiol 17-beta-dehydrogenase activity,7,7,TRUE
GO:0016229,steroid dehydrogenase activity,24,25,FALSE
GO:0016614,oxidoreductase activity; acting on CH-OH group of donors,105,120,FALSE
GO:0033764,steroid dehydrogenase activity; acting on the CH-OH group of donors; NAD or NADP as acceptor,19,20,FALSE
GO:0016616,oxidoreductase activity; acting on the CH-OH group of donors; NAD or NADP as acceptor,85,109,FALSE
GO:0005125,cytokine activity,142,154,FALSE
GO:0016765,transferase activity; transferring alkyl or aryl (other than methyl) groups,53,55,FALSE
GO:0008609,alkylglycerone-phosphate synthase activity,1,1,TRUE
GO:0071949,FAD binding,18,19,FALSE
GO:0050660,flavin adenine dinucleotide binding,44,45,FALSE
GO:0050662,coenzyme binding,10,152,FALSE
GO:0003774,motor activity,101,104,FALSE
GO:0004674,protein serine/threonine kinase activity,379,385,FALSE
GO:0004672,protein kinase activity,577,588,FALSE
GO:0004712,protein serine/threonine/tyrosine kinase activity,26,26,TRUE
GO:0099106,ion channel regulator activity,57,91,FALSE
GO:0016247,channel regulator activity,104,122,FALSE
GO:0005246,calcium channel regulator activity,27,34,FALSE
GO:0015459,potassium channel regulator activity,33,44,FALSE
GO:0017080,sodium channel regulator activity,27,34,FALSE
GO:0017081,chloride channel regulator activity,4,13,FALSE
GO:0019205,nucleobase-containing compound kinase activity,15,44,FALSE
GO:0019206,nucleoside kinase activity,15,16,FALSE
GO:0042813,Wnt-activated receptor activity,21,22,FALSE
GO:0098632,cell-cell adhesion mediator activity,23,43,FALSE
GO:0098641,cadherin binding involved in cell-cell adhesion,19,19,TRUE
GO:0098631,cell adhesion mediator activity,1,51,FALSE
GO:1901681,sulfur compound binding,1,145,FALSE
GO:0032559,adenyl ribonucleotide binding,47,309,FALSE
GO:1901567,fatty acid derivative binding,0,17,FALSE
GO:0000062,fatty-acyl-CoA binding,11,11,TRUE
GO:0030554,adenyl nucleotide binding,58,320,FALSE
GO:0016290,palmitoyl-CoA hydrolase activity,8,8,TRUE
GO:0036042,long-chain fatty acyl-CoA binding,6,6,TRUE
GO:0005524,ATP binding,265,267,FALSE
GO:0019838,growth factor binding,82,84,FALSE
GO:0019966,interleukin-1 binding,3,5,FALSE
GO:0019955,cytokine binding,70,91,FALSE
GO:0047485,protein N-terminus binding,10,10,TRUE
GO:0003713,transcription coactivator activity,291,291,TRUE
GO:0036004,GAF domain binding,1,1,TRUE
GO:0051082,unfolded protein binding,80,89,FALSE
GO:0008009,chemokine activity,41,46,FALSE
GO:0001664,G-protein coupled receptor binding,139,170,FALSE
GO:0005126,cytokine receptor binding,139,200,FALSE
GO:0042379,chemokine receptor binding,35,55,FALSE
GO:0031728,CCR3 chemokine receptor binding,3,3,TRUE
GO:0048020,CCR chemokine receptor binding,27,34,FALSE
GO:0005272,sodium channel activity,27,38,FALSE
GO:0022842,narrow pore channel activity,3,19,FALSE
GO:0022841,potassium ion leak channel activity,12,16,FALSE
GO:0022840,leak channel activity,3,19,FALSE
GO:0005534,galactose binding,4,4,TRUE
GO:0001846,opsonin binding,14,14,TRUE
GO:0001855,complement component C4b binding,2,2,TRUE
GO:0001848,complement binding,5,16,FALSE
GO:0017171,serine hydrolase activity,45,158,FALSE
GO:0004252,serine-type endopeptidase activity,120,130,FALSE
GO:0008236,serine-type peptidase activity,44,156,FALSE
GO:0019003,GDP binding,52,52,TRUE
GO:0004027,alcohol sulfotransferase activity,2,2,TRUE
GO:0016782,transferase activity; transferring sulfur-containing groups,52,65,FALSE
GO:0008146,sulfotransferase activity,37,48,FALSE
GO:0015485,cholesterol binding,38,42,FALSE
GO:0043178,alcohol binding,0,65,FALSE
GO:0005496,steroid binding,59,66,FALSE
GO:0032934,sterol binding,44,48,FALSE
GO:0050294,steroid sulfotransferase activity,4,4,TRUE
GO:0042562,hormone binding,9,70,FALSE
GO:1990239,steroid hormone binding,5,6,FALSE
GO:0001530,lipopolysaccharide binding,25,28,FALSE
GO:0038187,pattern recognition receptor activity,16,18,FALSE
GO:0008329,signaling pattern recognition receptor activity,16,18,FALSE
GO:0001875,lipopolysaccharide receptor activity,4,4,TRUE
GO:0003954,NADH dehydrogenase activity,42,44,FALSE
GO:0050136,NADH dehydrogenase (quinone) activity,41,43,FALSE
GO:0008137,NADH dehydrogenase (ubiquinone) activity,41,43,FALSE
GO:0016655,oxidoreductase activity; acting on NAD(P)H; quinone or similar compound as acceptor,15,57,FALSE
GO:0016651,oxidoreductase activity; acting on NAD(P)H,88,98,FALSE
GO:0050501,hyaluronan synthase activity,4,4,TRUE
GO:0016758,transferase activity; transferring hexosyl groups,64,184,FALSE
GO:0005035,death receptor activity,9,9,TRUE
GO:0045569,TRAIL binding,2,2,TRUE
GO:0004930,G-protein coupled receptor activity,213,341,FALSE
GO:0008066,glutamate receptor activity,26,26,TRUE
GO:0005184,neuropeptide hormone activity,20,21,FALSE
GO:0043425,bHLH transcription factor binding,10,10,TRUE
GO:0019199,transmembrane receptor protein kinase activity,0,81,FALSE
GO:0004675,transmembrane receptor protein serine/threonine kinase activity,17,17,TRUE
GO:0046332,SMAD binding,29,29,TRUE
GO:0005507,copper ion binding,43,43,TRUE
GO:0016530,metallochaperone activity,1,9,FALSE
GO:0140104,molecular carrier activity,21,31,FALSE
GO:0016531,copper chaperone activity,2,7,FALSE
GO:0008081,phosphoric diester hydrolase activity,36,76,FALSE
GO:0004629,phospholipase C activity,24,27,FALSE
GO:0004620,phospholipase activity,82,90,FALSE
GO:0004435,phosphatidylinositol phospholipase C activity,23,24,FALSE
GO:0016298,lipase activity,99,114,FALSE
GO:0000217,DNA secondary structure binding,25,25,TRUE
GO:0000400,four-way junction DNA binding,15,15,TRUE
GO:0000403,Y-form DNA binding,8,8,TRUE
GO:0060090,molecular adaptor activity,11,143,FALSE
GO:0030674,protein binding; bridging,106,126,FALSE
GO:0018024,histone-lysine N-methyltransferase activity,39,40,FALSE
GO:0042054,histone methyltransferase activity,11,52,FALSE
GO:0019789,SUMO transferase activity,22,23,FALSE
GO:0032182,ubiquitin-like protein binding,78,79,FALSE
GO:0032183,SUMO binding,8,8,TRUE
GO:0060703,deoxyribonuclease inhibitor activity,1,1,TRUE
GO:0005154,epidermal growth factor receptor binding,18,19,FALSE
GO:0070851,growth factor receptor binding,35,71,FALSE
GO:0005200,structural constituent of cytoskeleton,94,94,TRUE
GO:0030276,clathrin binding,43,45,FALSE
GO:0035615,clathrin adaptor activity,10,10,TRUE
GO:0098748,endocytic adaptor activity,0,10,FALSE
GO:0008135,translation factor activity; RNA binding,68,68,TRUE
GO:0003743,translation initiation factor activity,37,37,TRUE
GO:0015085,calcium ion transmembrane transporter activity,13,122,FALSE
GO:0005262,calcium channel activity,80,106,FALSE
GO:0005245,voltage-gated calcium channel activity,32,37,FALSE
GO:0001085,RNA polymerase II transcription factor binding,64,66,FALSE
GO:0001158,enhancer sequence-specific DNA binding,12,83,FALSE
GO:0035326,enhancer binding,12,94,FALSE
GO:0000980,RNA polymerase II distal enhancer sequence-specific DNA binding,68,73,FALSE
GO:0031072,heat shock protein binding,47,49,FALSE
GO:0051879,Hsp90 protein binding,21,22,FALSE
GO:0070888,E-box binding,39,40,FALSE
GO:0016303,1-phosphatidylinositol-3-kinase activity,44,46,FALSE
GO:0052742,phosphatidylinositol kinase activity,6,52,FALSE
GO:0035004,phosphatidylinositol 3-kinase activity,77,79,FALSE
GO:0052813,phosphatidylinositol bisphosphate kinase activity,3,71,FALSE
GO:0046934,phosphatidylinositol-4;5-bisphosphate 3-kinase activity,67,68,FALSE
GO:0016903,oxidoreductase activity; acting on the aldehyde or oxo group of donors,40,40,TRUE
GO:0034603,pyruvate dehydrogenase [NAD(P)+] activity,4,4,TRUE
GO:0016620,oxidoreductase activity; acting on the aldehyde or oxo group of donors; NAD or NADP as acceptor,26,30,FALSE
GO:0004738,pyruvate dehydrogenase activity,6,6,TRUE
GO:0034604,pyruvate dehydrogenase (NAD+) activity,4,4,TRUE
GO:0005337,nucleoside transmembrane transporter activity,3,7,FALSE
GO:1901505,carbohydrate derivative transmembrane transporter activity,1,41,FALSE
GO:0015932,nucleobase-containing compound transmembrane transporter activity,8,35,FALSE
GO:0005415,nucleoside:sodium symporter activity,0,3,FALSE
GO:0004062,aryl sulfotransferase activity,8,10,FALSE
GO:0005326,neurotransmitter transporter activity,23,40,FALSE
GO:0046943,carboxylic acid transmembrane transporter activity,98,154,FALSE
GO:0015171,amino acid transmembrane transporter activity,47,74,FALSE
GO:0005342,organic acid transmembrane transporter activity,104,154,FALSE
GO:0015172,acidic amino acid transmembrane transporter activity,2,14,FALSE
GO:0015179,L-amino acid transmembrane transporter activity,18,51,FALSE
GO:0005313,L-glutamate transmembrane transporter activity,13,14,FALSE
GO:0008514,organic anion transmembrane transporter activity,49,204,FALSE
GO:0015238,drug transmembrane transporter activity,25,95,FALSE
GO:0005310,dicarboxylic acid transmembrane transporter activity,34,40,FALSE
GO:0015501,glutamate:sodium symporter activity,3,5,FALSE
GO:0005314,high-affinity glutamate transmembrane transporter activity,5,5,TRUE
GO:0005343,organic acid:sodium symporter activity,15,28,FALSE
GO:0005328,neurotransmitter:sodium symporter activity,2,13,FALSE
GO:0017153,sodium:dicarboxylate symporter activity,4,10,FALSE
GO:0005283,amino acid:sodium symporter activity,11,15,FALSE
GO:0005416,amino acid:cation symporter activity,5,21,FALSE
GO:0016860,intramolecular oxidoreductase activity,44,44,TRUE
