DO ID,DO name,asimov genes, menchelab genes, both sets equal?
DOID:0050150,Pontiac fever,0,0,TRUE
DOID:0050152,aspiration pneumonia,2,2,TRUE
DOID:0050153,pulmonary aspergilloma,0,0,TRUE
DOID:0050155,sensory system disease,1242,1578,FALSE
DOID:0050156,idiopathic pulmonary fibrosis,14,14,TRUE
DOID:0050157,cryptogenic organizing pneumonia,1,1,TRUE
DOID:0050158,desquamative interstitial pneumonia,2,2,TRUE
DOID:0050159,lymphoid interstitial pneumonia,0,0,TRUE
DOID:0050160,inhalation anthrax,0,0,TRUE
DOID:0050161,lower respiratory tract disease,420,420,TRUE
DOID:0050166,tuberculous salpingitis,0,0,TRUE
DOID:0050167,autoimmune polyendocrine syndrome type 1,1,1,TRUE
DOID:0050168,autoimmune polyendocrine syndrome type 2,0,0,TRUE
DOID:0050169,cutaneous lupus erythematosus,3,3,TRUE
DOID:0050174,Kunjin encephalitis,0,0,TRUE
DOID:0050175,tick-borne encephalitis,0,0,TRUE
DOID:0050177,monogenic disease,699,699,TRUE
DOID:0050179,Powassan encephalitis,0,0,TRUE
DOID:0050185,erythema multiforme,0,0,TRUE
DOID:0050194,Argentine hemorrhagic fever,0,0,TRUE
DOID:0050195,Bolivian hemorrhagic fever,0,0,TRUE
DOID:0050196,Venezuelan hemorrhagic fever,0,0,TRUE
DOID:0050197,Brazilian hemorrhagic fever,0,0,TRUE
DOID:0050198,Chapare hemorrhagic fever,0,0,TRUE
DOID:0050199,Whitewater Arroyo hemorrhagic fever,0,0,TRUE
DOID:0050200,Korean hemorrhagic fever,0,0,TRUE
DOID:0050201,nephropathia epidemica,0,0,TRUE
DOID:0050202,lujo hemorrhagic fever,0,0,TRUE
DOID:0050204,Epstein-Barr virus hepatitis,0,0,TRUE
DOID:0050211,swine influenza,0,0,TRUE
DOID:0050214,Lambert-Eaton myasthenic syndrome,0,0,TRUE
DOID:0050218,polycystic echinococcosis,0,0,TRUE
DOID:0050222,selective IgM deficiency disease,0,0,TRUE
DOID:0050242,primary amebic meningoencephalitis,0,0,TRUE
DOID:0050246,granulomatous amebic encephalitis,0,0,TRUE
DOID:0050250,philophthalmiasis,0,0,TRUE
DOID:0050251,coenurosis,0,0,TRUE
DOID:0050253,mesocestoidiasis,0,0,TRUE
DOID:0050254,acanthocephaliasis,0,0,TRUE
DOID:0050256,angiostrongyliasis,0,0,TRUE
DOID:0050259,baylisascariasis,0,0,TRUE
DOID:0050260,dioctophymiasis,0,0,TRUE
DOID:0050261,thelaziasis,0,0,TRUE
DOID:0050266,tungiasis,0,0,TRUE
DOID:0050268,ophthalmomyiasis,0,0,TRUE
DOID:0050278,basidiobolomycosis,0,0,TRUE
DOID:0050279,conidiobolomycosis,0,0,TRUE
DOID:0050288,penicilliosis,0,0,TRUE
DOID:0050289,fusariosis,0,0,TRUE
DOID:0050290,trichosporonosis,0,0,TRUE
DOID:0050291,parasitic Ichthyosporea infectious disease,0,0,TRUE
DOID:0050292,primary systemic mycosis,0,0,TRUE
DOID:0050304,aniseikonia,0,0,TRUE
DOID:0050308,Alkhurma hemorrhagic fever,0,0,TRUE
DOID:0050328,congenital hypothyroidism,56,56,TRUE
DOID:0050331,LADD syndrome,3,3,TRUE
DOID:0050332,enlarged vestibular aqueduct,1,1,TRUE
DOID:0050335,bradyopsia,2,2,TRUE
DOID:0050336,hypophosphatemia,0,0,TRUE
DOID:0050338,primary bacterial infectious disease,28,28,TRUE
DOID:0050339,commensal bacterial infectious disease,5,5,TRUE
DOID:0050340,opportunistic bacterial infectious disease,0,0,TRUE
DOID:0050352,foodborne botulism,0,0,TRUE
DOID:0050353,wound botulism,0,0,TRUE
DOID:0050354,infant botulism,0,0,TRUE
DOID:0050382,glandular tularemia,0,0,TRUE
DOID:0050383,typhoidal tularemia,0,0,TRUE
DOID:0050387,nonpapillary renal cell carcinoma,6,6,TRUE
DOID:0050398,Carrion's disease,0,0,TRUE
DOID:0050419,complement factor I deficiency,1,1,TRUE
DOID:0050424,familial adenomatous polyposis,16,16,TRUE
DOID:0050425,restless legs syndrome,5,5,TRUE
DOID:0050426,Stevens-Johnson syndrome,31,31,TRUE
DOID:0050427,xeroderma pigmentosum,8,8,TRUE
DOID:0050428,nonepidermolytic palmoplantar keratoderma,62,62,TRUE
DOID:0050429,Hailey-Hailey disease,50,50,TRUE
DOID:0050430,multiple endocrine neoplasia type 2A,3,3,TRUE
DOID:0050431,arrhythmogenic right ventricular cardiomyopathy,8,8,TRUE
DOID:0050432,Asperger syndrome,4,4,TRUE
DOID:0050433,fatal familial insomnia,1,1,TRUE
DOID:0050434,Andersen-Tawil syndrome,2,2,TRUE
DOID:0050436,mulibrey nanism,1,1,TRUE
DOID:0050437,Danon disease,1,1,TRUE
DOID:0050438,Frasier syndrome,1,1,TRUE
DOID:0050439,Usher syndrome,10,10,TRUE
DOID:0050440,familial partial lipodystrophy,7,7,TRUE
DOID:0050441,mucosulfatidosis,1,1,TRUE
DOID:0050444,infantile Refsum disease,15,15,TRUE
DOID:0050445,X-linked hypophosphatemic rickets,2,2,TRUE
DOID:0050448,hereditary mucosal leukokeratosis,21,21,TRUE
DOID:0050449,pachyonychia congenita,4,4,TRUE
DOID:0050450,Gitelman syndrome,1,1,TRUE
DOID:0050451,Brugada syndrome,15,15,TRUE
DOID:0050452,mevalonic aciduria,1,1,TRUE
DOID:0050453,lissencephaly,52,52,TRUE
DOID:0050454,periventricular nodular heterotopia,5,5,TRUE
DOID:0050456,Buruli ulcer disease,0,0,TRUE
DOID:0050457,Sertoli cell-only syndrome,17,17,TRUE
DOID:0050458,juvenile myelomonocytic leukemia,23,23,TRUE
DOID:0050459,hyperphosphatemia,17,17,TRUE
DOID:0050460,Wolf-Hirschhorn syndrome,4,4,TRUE
DOID:0050461,aspartylglucosaminuria,2,2,TRUE
DOID:0050462,Antley-Bixler syndrome,3,3,TRUE
DOID:0050463,campomelic dysplasia,1,1,TRUE
DOID:0050464,Farber lipogranulomatosis,2,2,TRUE
DOID:0050465,Muir-Torre syndrome,3,3,TRUE
DOID:0050466,Loeys-Dietz syndrome,12,12,TRUE
DOID:0050467,erythrokeratodermia variabilis,4,4,TRUE
DOID:0050468,yellow nail syndrome,1,1,TRUE
DOID:0050469,Costello syndrome,6,6,TRUE
DOID:0050470,Donohue syndrome,1,1,TRUE
DOID:0050471,Carney complex,2,2,TRUE
DOID:0050472,monilethrix,3,3,TRUE
DOID:0050473,Alstrom syndrome,1,1,TRUE
DOID:0050474,Netherton syndrome,2,2,TRUE
DOID:0050475,Weill-Marchesani syndrome,5,5,TRUE
DOID:0050476,Barth syndrome,1,1,TRUE
DOID:0050477,Liddle syndrome,6,6,TRUE
DOID:0050480,epidemic typhus,0,0,TRUE
DOID:0050481,endemic typhus,0,0,TRUE
DOID:0050484,aneruptive fever,0,0,TRUE
DOID:0050485,sennetsu fever,0,0,TRUE
DOID:0050486,exanthem,42,42,TRUE
DOID:0050487,bacterial exanthem,0,0,TRUE
DOID:0050488,early congenital syphilis,0,0,TRUE
DOID:0050489,multinodular goiter,3,3,TRUE
DOID:0050490,parenchymatous neurosyphilis,0,0,TRUE
DOID:0050491,meningovascular neurosyphilis,0,0,TRUE
DOID:0050495,exanthema subitum,0,0,TRUE
DOID:0050508,variola major,0,0,TRUE
DOID:0050513,spinal polio,0,0,TRUE
DOID:0050514,bulbospinal polio,0,0,TRUE
DOID:0050515,paralytic poliomyelitis,1,1,TRUE
DOID:0050516,O'nyong'nyong fever,0,0,TRUE
DOID:0050517,Barmah Forest virus disease,0,0,TRUE
DOID:0050518,Ross River fever,0,0,TRUE
DOID:0050521,Oropouche fever,0,0,TRUE
DOID:0050522,Balkan hemorrhagic fever,0,0,TRUE
DOID:0050523,adult T-cell leukemia,31,31,TRUE
DOID:0050524,maturity-onset diabetes of the young,13,13,TRUE
DOID:0050526,Gamstorp-Wohlfart syndrome,1,1,TRUE
DOID:0050528,nonphotosensitive trichothiodystrophy,1,1,TRUE
DOID:0050529,adult spinal muscular atrophy,1,1,TRUE
DOID:0050530,intermediate spinal muscular atrophy,2,2,TRUE
DOID:0050534,congenital stationary night blindness,86,86,TRUE
DOID:0050535,exudative vitreoretinopathy,6,6,TRUE
DOID:0050536,SC phocomelia syndrome,1,1,TRUE
DOID:0050537,posterior polar cataract,0,0,TRUE
DOID:0050538,Charcot-Marie-Tooth disease type 1,13,13,TRUE
DOID:0050539,Charcot-Marie-Tooth disease type 2,33,33,TRUE
DOID:0050540,Charcot-Marie-Tooth disease type 3,5,5,TRUE
DOID:0050541,Charcot-Marie-Tooth disease type 4,19,19,TRUE
DOID:0050542,Charcot-Marie-Tooth disease type X,14,14,TRUE
DOID:0050543,Charcot-Marie-Tooth disease intermediate type,19,19,TRUE
DOID:0050544,hypermethioninemia,2,2,TRUE
DOID:0050545,visceral heterotaxy,39,39,TRUE
DOID:0050546,congenital adrenal insufficiency,1,1,TRUE
DOID:0050547,familial medullary thyroid carcinoma,3,3,TRUE
DOID:0050548,hereditary sensory neuropathy,12,12,TRUE
DOID:0050549,Saldino-Noonan syndrome,0,0,TRUE
DOID:0050553,JMP syndrome,0,0,TRUE
DOID:0050554,X-linked sideroblastic anemia with ataxia,1,1,TRUE
DOID:0050556,infantile onset spinocerebellar ataxia,1,1,TRUE
DOID:0050557,congenital muscular dystrophy,31,31,TRUE
DOID:0050558,Ullrich congenital muscular dystrophy,4,4,TRUE
DOID:0050559,Fukuyama congenital muscular dystrophy,1,1,TRUE
DOID:0050560,Walker-Warburg syndrome,13,13,TRUE
DOID:0050561,Lennox-Gastaut syndrome,0,0,TRUE
DOID:0050562,West syndrome,0,0,TRUE
DOID:0050563,nonsyndromic deafness,80,80,TRUE
DOID:0050564,autosomal dominant nonsyndromic deafness,43,43,TRUE
DOID:0050565,autosomal recessive nonsyndromic deafness,56,56,TRUE
DOID:0050566,X-linked nonsyndromic deafness,21,21,TRUE
DOID:0050567,orofacial cleft,220,220,TRUE
DOID:0050568,spondylocostal dysostosis,5,5,TRUE
DOID:0050569,Seckel syndrome,47,47,TRUE
DOID:0050570,congenital disorder of glycosylation type I,25,25,TRUE
DOID:0050571,congenital disorder of glycosylation type II,13,13,TRUE
DOID:0050572,cone-rod dystrophy,166,166,TRUE
DOID:0050573,2-hydroxyglutaric aciduria,4,4,TRUE
DOID:0050574,L-2-hydroxyglutaric aciduria,2,2,TRUE
DOID:0050575,D-2-hydroxyglutaric aciduria,2,2,TRUE
DOID:0050576,Senior-Loken syndrome,21,21,TRUE
DOID:0050577,Sensenbrenner syndrome,5,5,TRUE
DOID:0050578,occult macular dystrophy,1,1,TRUE
DOID:0050579,glycogen storage disease XV,1,1,TRUE
DOID:0050580,hereditary lymphedema,4,4,TRUE
DOID:0050581,brachydactyly,10,10,TRUE
DOID:0050584,gummatous syphilis,0,0,TRUE
DOID:0050585,congenital generalized lipodystrophy,4,4,TRUE
DOID:0050587,trichotillomania,2,2,TRUE
DOID:0050588,muscular dystrophy-dystroglycanopathy,20,20,TRUE
DOID:0050589,inflammatory bowel disease,128,128,TRUE
DOID:0050590,severe congenital neutropenia,18,18,TRUE
DOID:0050591,tooth agenesis,84,84,TRUE
DOID:0050592,asphyxiating thoracic dystrophy,60,60,TRUE
DOID:0050593,primary congenital glaucoma,21,21,TRUE
DOID:0050594,glycogen storage disease IX,3,3,TRUE
DOID:0050596,taeniasis,0,0,TRUE
DOID:0050597,intestinal schistosomiasis,3,3,TRUE
DOID:0050598,extrapulmonary tuberculosis,0,0,TRUE
DOID:0050599,abdominal tuberculosis,0,0,TRUE
DOID:0050600,ABCD syndrome,1,1,TRUE
DOID:0050601,ADULT syndrome,1,1,TRUE
DOID:0050602,triple-A syndrome,2,2,TRUE
DOID:0050603,acheiropody,1,1,TRUE
DOID:0050604,acrocapitofemoral dysplasia,1,1,TRUE
DOID:0050605,acrodermatitis enteropathica,1,1,TRUE
DOID:0050606,acrokeratosis verruciformis,1,1,TRUE
DOID:0050608,Askin's tumor,0,0,TRUE
DOID:0050610,oral cavity carcinoma in situ,0,0,TRUE
DOID:0050611,pharynx carcinoma in situ,0,0,TRUE
DOID:0050612,gall bladder carcinoma in situ,0,0,TRUE
DOID:0050613,bile duct carcinoma in situ,0,0,TRUE
DOID:0050614,bronchus carcinoma in situ,0,0,TRUE
DOID:0050615,respiratory system cancer,195,195,TRUE
DOID:0050616,malignant Leydig cell tumor,0,0,TRUE
DOID:0050617,malignant Sertoli cell tumor,0,0,TRUE
DOID:0050618,malignant Sertoli-Leydig cell tumor,0,0,TRUE
DOID:0050619,paranasal sinus cancer,0,0,TRUE
DOID:0050620,infiltrating renal pelvis transitional cell carcinoma,0,0,TRUE
DOID:0050621,respiratory system benign neoplasm,183,183,TRUE
DOID:0050622,reproductive organ benign neoplasm,19,19,TRUE
DOID:0050623,bladder benign neoplasm,0,0,TRUE
DOID:0050624,gastrointestinal system benign neoplasm,163,163,TRUE
DOID:0050625,biliary tract neoplasm,0,0,TRUE
DOID:0050626,gastrointestinal neuroendocrine tumor,0,0,TRUE
DOID:0050628,advanced sleep phase syndrome,3,3,TRUE
DOID:0050629,Aicardi-Goutieres syndrome,7,7,TRUE
DOID:0050630,Aland Island eye disease,1,1,TRUE
DOID:0050631,Allan-Herndon-Dudley syndrome,1,1,TRUE
DOID:0050632,oculocutaneous albinism,12,12,TRUE
DOID:0050633,ocular albinism,1,1,TRUE
DOID:0050634,alopecia universalis,1,1,TRUE
DOID:0050635,alternating hemiplegia of childhood,2,2,TRUE
DOID:0050636,familial visceral amyloidosis,4,4,TRUE
DOID:0050637,Finnish type amyloidosis,1,1,TRUE
DOID:0050638,transthyretin amyloidosis,1,1,TRUE
DOID:0050639,primary cutaneous amyloidosis,2,2,TRUE
DOID:0050640,anauxetic dysplasia 1,1,1,TRUE
DOID:0050641,Rh deficiency syndrome,2,2,TRUE
DOID:0050642,hypochromic microcytic anemia,2,2,TRUE
DOID:0050643,anonychia congenita,1,1,TRUE
DOID:0050644,arterial calcification of infancy,2,2,TRUE
DOID:0050645,arterial tortuosity syndrome,5,5,TRUE
DOID:0050646,distal arthrogryposis,9,9,TRUE
DOID:0050647,Arts syndrome,4,4,TRUE
DOID:0050648,atelosteogenesis,2,2,TRUE
DOID:0050649,atransferrinemia,1,1,TRUE
DOID:0050650,familial atrial fibrillation,20,20,TRUE
DOID:0050651,atrioventricular septal defect,22,22,TRUE
DOID:0050654,Baller-Gerold syndrome,1,1,TRUE
DOID:0050655,Bamforth-Lazarus syndrome,2,2,TRUE
DOID:0050656,pseudo-TORCH syndrome 1,0,0,TRUE
DOID:0050657,Bannayan-Riley-Ruvalcaba syndrome,1,1,TRUE
DOID:0050658,Bart-Pumphrey syndrome,1,1,TRUE
DOID:0050659,biotin-responsive basal ganglia disease,1,1,TRUE
DOID:0050660,Beare-Stevenson cutis gyrata syndrome,1,1,TRUE
DOID:0050661,vitelliform macular dystrophy,3,3,TRUE
DOID:0050662,bestrophinopathy,1,1,TRUE
DOID:0050663,Bethlem myopathy,4,4,TRUE
DOID:0050664,Bietti crystalline corneoretinal dystrophy,1,1,TRUE
DOID:0050665,fetal alcohol syndrome,0,0,TRUE
DOID:0050666,partial fetal alcohol syndrome,0,0,TRUE
DOID:0050667,alcohol-related neurodevelopmental disorder,0,0,TRUE
DOID:0050668,alcohol-related birth defect,0,0,TRUE
DOID:0050669,spastic cerebral palsy,28,28,TRUE
DOID:0050670,ataxic cerebral palsy,0,0,TRUE
DOID:0050671,female breast cancer,0,0,TRUE
DOID:0050672,dyskinetic cerebral palsy,0,0,TRUE
DOID:0050673,mixed cerebral palsy,0,0,TRUE
DOID:0050674,congenital bile acid synthesis defect,4,4,TRUE
DOID:0050675,Birk-Barel syndrome,1,1,TRUE
DOID:0050676,Birt-Hogg-Dube syndrome,1,1,TRUE
DOID:0050677,Bjornstad syndrome,1,1,TRUE
DOID:0050678,Blau syndrome,1,1,TRUE
DOID:0050679,blue cone monochromacy,2,2,TRUE
DOID:0050680,Boomerang dysplasia,1,1,TRUE
DOID:0050681,Borjeson-Forssman-Lehmann syndrome,1,1,TRUE
DOID:0050682,Athabaskan brainstem dysgenesis syndrome,1,1,TRUE
DOID:0050683,Bothnia retinal dystrophy,1,1,TRUE
DOID:0050684,Bowen-Conradi syndrome,1,1,TRUE
DOID:0050685,small cell carcinoma,0,0,TRUE
DOID:0050686,organ system cancer,2386,2386,TRUE
DOID:0050687,cell type cancer,726,726,TRUE
DOID:0050688,anal canal cancer,0,0,TRUE
DOID:0050689,brachydactyly-syndactyly syndrome,1,1,TRUE
DOID:0050690,brachyolmia,1,1,TRUE
DOID:0050691,branchiooculofacial syndrome,1,1,TRUE
DOID:0050692,Brody myopathy,1,1,TRUE
DOID:0050693,Brooke-Spiegler syndrome,1,1,TRUE
DOID:0050694,Brown-Vialetto-Van Laere syndrome,1,1,TRUE
DOID:0050695,malignant pleural solitary fibrous tumor,0,0,TRUE
DOID:0050696,fetal alcohol spectrum disorder,0,0,TRUE
DOID:0050697,chorioamnionitis,0,0,TRUE
DOID:0050698,funisitis,0,0,TRUE
DOID:0050699,Dent disease,2,2,TRUE
DOID:0050700,cardiomyopathy,279,279,TRUE
DOID:0050701,electroclinical syndrome,138,138,TRUE
DOID:0050702,neonatal period electroclinical syndrome,111,111,TRUE
DOID:0050703,infancy electroclinical syndrome,11,11,TRUE
DOID:0050704,childhood electroclinical syndrome,23,23,TRUE
DOID:0050705,adolescence-adult electroclinical syndrome,17,17,TRUE
DOID:0050706,variable age at onset electroclinical syndrome,102,102,TRUE
DOID:0050708,early onset absence epilepsy,0,0,TRUE
DOID:0050709,Ohtahara syndrome,18,18,TRUE
DOID:0050710,3-Methylcrotonyl-CoA carboxylase deficiency,2,2,TRUE
DOID:0050711,aceruloplasminemia,1,1,TRUE
DOID:0050712,AGAT deficiency,1,1,TRUE
DOID:0050713,fatal infantile encephalocardiomyopathy,2,2,TRUE
DOID:0050715,methylmalonic aciduria and homocystinuria type cblC,1,1,TRUE
DOID:0050716,methylmalonic aciduria and homocystinuria type cblD,1,1,TRUE
DOID:0050717,methylmalonic aciduria and homocystinuria type cblF,1,1,TRUE
DOID:0050718,vitamin metabolic disorder,2,2,TRUE
DOID:0050719,cerebral folate receptor alpha deficiency,0,0,TRUE
DOID:0050720,ornithine translocase deficiency,1,1,TRUE
DOID:0050721,serine deficiency,3,3,TRUE
DOID:0050722,PHGDH deficiency,1,1,TRUE
DOID:0050723,PSAT deficiency,1,1,TRUE
DOID:0050724,PSPH deficiency,1,1,TRUE
DOID:0050725,tyrosinemia type II,1,1,TRUE
DOID:0050726,tyrosinemia type I,1,1,TRUE
DOID:0050727,tyrosinemia type III,1,1,TRUE
DOID:0050728,glycogen metabolism disorder,32,32,TRUE
DOID:0050729,neutral lipid storage disease,1,1,TRUE
DOID:0050730,coenzyme Q10 deficiency disease,7,7,TRUE
DOID:0050731,vitamin B12 deficiency,2,2,TRUE
DOID:0050732,methylmalonic aciduria and homocystinuria type cblE,0,0,TRUE
DOID:0050733,methylmalonic aciduria and homocystinuria type cblG,0,0,TRUE
DOID:0050734,congenital intrinsic factor deficiency,1,1,TRUE
DOID:0050735,X-linked disease,47,47,TRUE
DOID:0050736,autosomal dominant disease,398,398,TRUE
DOID:0050737,autosomal recessive disease,381,381,TRUE
DOID:0050738,Y-linked disease,0,0,TRUE
DOID:0050739,autosomal genetic disease,672,672,TRUE
DOID:0050740,Qazi Markouizos syndrome,0,0,TRUE
DOID:0050741,alcohol dependence,275,275,TRUE
DOID:0050742,nicotine dependence,19,19,TRUE
DOID:0050743,mature T-cell and NK-cell lymphoma,38,38,TRUE
DOID:0050744,anaplastic large cell lymphoma,0,0,TRUE
DOID:0050745,diffuse large B-cell lymphoma,0,0,TRUE
DOID:0050746,mantle cell lymphoma,0,0,TRUE
DOID:0050747,lymphoplasmacytic lymphoma,10,10,TRUE
DOID:0050748,marginal zone B-cell lymphoma,0,0,TRUE
DOID:0050749,peripheral T-cell lymphoma,38,38,TRUE
DOID:0050750,splenic marginal zone lymphoma,0,0,TRUE
DOID:0050751,T-cell large granular lymphocyte leukemia,0,0,TRUE
DOID:0050752,amyotrophic lateral sclerosis type 8,1,1,TRUE
DOID:0050753,cerebellar ataxia,2,2,TRUE
DOID:0050754,ataxia with oculomotor apraxia type 1,2,2,TRUE
DOID:0050755,ataxia with oculomotor apraxia type 2,0,0,TRUE
DOID:0050756,Batten disease,0,0,TRUE
DOID:0050757,deafness dystonia syndrome,1,1,TRUE
DOID:0050758,metabolic acidosis,0,0,TRUE
DOID:0050759,myotonic dystrophy type 2,5,5,TRUE
DOID:0050760,X-linked myopathy with excessive autophagy,0,0,TRUE
DOID:0050761,paramyloidosis,0,0,TRUE
DOID:0050762,adenylosuccinase lyase deficiency,0,0,TRUE
DOID:0050763,ARC syndrome,2,2,TRUE
DOID:0050764,Armfield syndrome,0,0,TRUE
DOID:0050765,neuroacanthocytosis,15,15,TRUE
DOID:0050766,chorea-acanthocytosis,15,15,TRUE
DOID:0050767,midface dysplasia,0,0,TRUE
DOID:0050768,mitochondrial complex V (ATP synthase) deficiency; nuclear type 1,2,2,TRUE
DOID:0050769,N syndrome,0,0,TRUE
DOID:0050770,polycystic liver disease,3,3,TRUE
DOID:0050771,phaeochromocytoma,18,18,TRUE
DOID:0050772,spastic ataxia 1,1,1,TRUE
DOID:0050773,paraganglioma,7,7,TRUE
DOID:0050774,rapadilino syndrome,1,1,TRUE
DOID:0050775,schneckenbecken dysplasia,1,1,TRUE
DOID:0050776,non-syndromic X-linked intellectual disability,16,16,TRUE
DOID:0050777,Joubert syndrome,31,31,TRUE
DOID:0050778,Meckel syndrome,69,69,TRUE
DOID:0050779,hydrolethalus syndrome,2,2,TRUE
DOID:0050780,Opitz-GBBB syndrome,2,2,TRUE
DOID:0050781,Ogden syndrome,1,1,TRUE
DOID:0050782,Zollinger-Ellison syndrome,87,87,TRUE
DOID:0050783,secondary progressive multiple sclerosis,0,0,TRUE
DOID:0050784,primary progressive multiple sclerosis,0,0,TRUE
DOID:0050785,progressive relapsing multiple sclerosis,0,0,TRUE
DOID:0050786,iridogoniodysgenesis syndrome,2,2,TRUE
DOID:0050787,juvenile polyposis syndrome,4,4,TRUE
DOID:0050788,proximal symphalangism,1,1,TRUE
DOID:0050789,tarsal-carpal coalition syndrome,1,1,TRUE
DOID:0050790,fibular hypoplasia and complex brachydactyly,2,2,TRUE
DOID:0050791,persistent Mullerian duct syndrome,2,2,TRUE
DOID:0050792,multiple cutaneous and mucosal venous malformations,1,1,TRUE
DOID:0050793,short QT syndrome,4,4,TRUE
DOID:0050794,multiple synostoses syndrome,3,3,TRUE
DOID:0050795,cone dystrophy,2,2,TRUE
DOID:0050796,achalasia microcephaly syndrome,0,0,TRUE
DOID:0050797,peroxisomal acyl-CoA oxidase deficiency,1,1,TRUE
DOID:0050798,cerebral creatine deficiency syndrome,3,3,TRUE
DOID:0050799,guanidinoacetate methyltransferase deficiency,1,1,TRUE
DOID:0050800,creatine transporter deficiency,1,1,TRUE
DOID:0050801,androgenic alopecia,3,3,TRUE
DOID:0050802,Ehlers-Danlos syndrome progeroid type,2,2,TRUE
DOID:0050803,glioblastoma classical subtype,0,0,TRUE
DOID:0050804,glioblastoma proneural subtype,0,0,TRUE
DOID:0050805,glioblastoma mesenchymal subtype,0,0,TRUE
DOID:0050806,glioblastoma neural subtype,0,0,TRUE
DOID:0050807,Kahrizi syndrome,0,0,TRUE
DOID:0050809,mucopolysaccharidosis IX,1,1,TRUE
DOID:0050810,biotin deficiency,0,0,TRUE
DOID:0050811,congenital adrenal hyperplasia,7,7,TRUE
DOID:0050812,spondyloepimetaphyseal dysplasia; Pakistani type,1,1,TRUE
DOID:0050813,spondyloepiphyseal dysplasia with congenital joint dislocations,1,1,TRUE
DOID:0050814,temtamy preaxial brachydactyly syndrome,1,1,TRUE
DOID:0050815,eye adnexa disease,237,237,TRUE
DOID:0050816,urofacial syndrome,1,1,TRUE
DOID:0050817,Stargardt disease,4,4,TRUE
DOID:0050818,transcobalamin II deficiency,1,1,TRUE
DOID:0050819,Matthew-Wood syndrome,2,2,TRUE
DOID:0050820,atrioventricular block,16,16,TRUE
DOID:0050821,first-degree atrioventricular block,0,0,TRUE
DOID:0050822,second-degree atrioventricular block,0,0,TRUE
DOID:0050823,third-degree atrioventricular block,0,0,TRUE
DOID:0050824,sinoatrial node disease,99,99,TRUE
DOID:0050825,endocardium disease,6,6,TRUE
DOID:0050826,tricuspid valve disease,6,6,TRUE
DOID:0050827,rheumatic heart disease,0,0,TRUE
DOID:0050828,artery disease,712,712,TRUE
DOID:0050829,pericardium disease,10,10,TRUE
DOID:0050830,peripheral artery disease,0,0,TRUE
DOID:0050831,familial encephalopathy with neuroserpin inclusion bodies,1,1,TRUE
DOID:0050832,pyrimidine metabolic disorder,1,1,TRUE
DOID:0050833,orotic aciduria,1,1,TRUE
DOID:0050834,CHARGE syndrome,2,2,TRUE
DOID:0050835,generalized dystonia,17,17,TRUE
DOID:0050836,focal dystonia,136,136,TRUE
