GO ID,DO name,asimov genes, menchelab genes, both sets equal?
GO:0044260,cellular macromolecule metabolic process,607,6351,FALSE
GO:0009892,negative regulation of metabolic process,154,2169,FALSE
GO:0019222,regulation of metabolic process,4264,4871,FALSE
GO:0034641,cellular nitrogen compound metabolic process,134,4912,FALSE
GO:0071704,organic substance metabolic process,3887,8664,FALSE
GO:0006139,nucleobase-containing compound metabolic process,1046,4324,FALSE
GO:0009057,macromolecule catabolic process,400,1147,FALSE
GO:0060255,regulation of macromolecule metabolic process,2609,4419,FALSE
GO:1901361,organic cyclic compound catabolic process,0,561,FALSE
GO:0006807,nitrogen compound metabolic process,180,7878,FALSE
GO:0006401,RNA catabolic process,216,322,FALSE
GO:0010629,negative regulation of gene expression,181,1426,FALSE
GO:0010467,gene expression,3,3975,FALSE
GO:0050789,regulation of biological process,7013,8857,FALSE
GO:0043170,macromolecule metabolic process,3860,7164,FALSE
GO:0016070,RNA metabolic process,892,3341,FALSE
GO:0016071,mRNA metabolic process,37,670,FALSE
GO:0044238,primary metabolic process,673,8270,FALSE
GO:0006725,cellular aromatic compound metabolic process,1136,4491,FALSE
GO:0065007,biological regulation,7558,9426,FALSE
GO:0010605,negative regulation of macromolecule metabolic process,21,1980,FALSE
GO:0034655,nucleobase-containing compound catabolic process,13,480,FALSE
GO:0006402,mRNA catabolic process,196,291,FALSE
GO:0090304,nucleic acid metabolic process,926,3790,FALSE
GO:0048519,negative regulation of biological process,223,4027,FALSE
GO:0044270,cellular nitrogen compound catabolic process,0,523,FALSE
GO:0010468,regulation of gene expression,2609,3128,FALSE
GO:0044265,cellular macromolecule catabolic process,335,959,FALSE
GO:0046700,heterocycle catabolic process,0,521,FALSE
GO:0000956,nuclear-transcribed mRNA catabolic process,186,201,FALSE
GO:0046483,heterocycle metabolic process,5,4467,FALSE
GO:0044087,regulation of cellular component biogenesis,312,745,FALSE
GO:0043933,protein-containing complex subunit organization,31,1752,FALSE
GO:1902115,regulation of organelle assembly,7,168,FALSE
GO:0010607,negative regulation of cytoplasmic mRNA processing body assembly,0,1,FALSE
GO:0071826,ribonucleoprotein complex subunit organization,0,211,FALSE
GO:0070925,organelle assembly,50,740,FALSE
GO:0051128,regulation of cellular component organization,659,1895,FALSE
GO:0065003,protein-containing complex assembly,919,1458,FALSE
GO:0033962,cytoplasmic mRNA processing body assembly,10,18,FALSE
GO:0051129,negative regulation of cellular component organization,19,518,FALSE
GO:0033043,regulation of organelle organization,332,1024,FALSE
GO:0048523,negative regulation of cellular process,122,3550,FALSE
GO:0034622,cellular protein-containing complex assembly,477,898,FALSE
GO:0050794,regulation of cellular process,3778,8225,FALSE
GO:0010603,regulation of cytoplasmic mRNA processing body assembly,7,8,FALSE
GO:0022607,cellular component assembly,1233,2437,FALSE
GO:0044085,cellular component biogenesis,55,2620,FALSE
GO:0031333,negative regulation of protein complex assembly,41,96,FALSE
GO:0022613,ribonucleoprotein complex biogenesis,49,368,FALSE
GO:0022618,ribonucleoprotein complex assembly,184,199,FALSE
GO:0043254,regulation of protein complex assembly,175,365,FALSE
GO:0010639,negative regulation of organelle organization,30,289,FALSE
GO:1902116,negative regulation of organelle assembly,0,31,FALSE
GO:0048869,cellular developmental process,971,2775,FALSE
GO:0007520,myoblast fusion,7,23,FALSE
GO:0000768,syncytium formation by plasma membrane fusion,10,31,FALSE
GO:0048856,anatomical structure development,1355,3779,FALSE
GO:0051146,striated muscle cell differentiation,6,138,FALSE
GO:0048646,anatomical structure formation involved in morphogenesis,239,668,FALSE
GO:0030154,cell differentiation,930,2627,FALSE
GO:0042692,muscle cell differentiation,19,197,FALSE
GO:0032502,developmental process,1815,4058,FALSE
GO:0014902,myotube differentiation,6,57,FALSE
GO:0009653,anatomical structure morphogenesis,633,1676,FALSE
GO:0061061,muscle structure development,5,336,FALSE
GO:0006949,syncytium formation,10,32,FALSE
GO:0061025,membrane fusion,31,149,FALSE
GO:0045026,plasma membrane fusion,3,40,FALSE
GO:0061024,membrane organization,288,667,FALSE
GO:0007517,muscle organ development,58,190,FALSE
GO:0060538,skeletal muscle organ development,6,64,FALSE
GO:0048513,animal organ development,526,1990,FALSE
GO:0048731,system development,432,3049,FALSE
GO:0007275,multicellular organism development,208,3300,FALSE
GO:0043403,skeletal muscle tissue regeneration,3,8,FALSE
GO:1903034,regulation of response to wounding,17,112,FALSE
GO:0042246,tissue regeneration,10,18,FALSE
GO:0042060,wound healing,39,398,FALSE
GO:0048638,regulation of developmental growth,46,145,FALSE
GO:0006950,response to stress,1329,2886,FALSE
GO:0031099,regeneration,8,39,FALSE
GO:0050793,regulation of developmental process,1279,1690,FALSE
GO:0043416,regulation of skeletal muscle tissue regeneration,2,3,FALSE
GO:0040008,regulation of growth,329,380,FALSE
GO:0051239,regulation of multicellular organismal process,790,2110,FALSE
GO:0009611,response to wounding,86,450,FALSE
GO:0061041,regulation of wound healing,16,101,FALSE
GO:0032101,regulation of response to external stimulus,139,566,FALSE
GO:2000026,regulation of multicellular organismal development,343,1301,FALSE
GO:0040007,growth,0,485,FALSE
GO:0048583,regulation of response to stimulus,423,3132,FALSE
GO:0080134,regulation of response to stress,262,1101,FALSE
GO:0009888,tissue development,249,1259,FALSE
GO:0048589,developmental growth,21,255,FALSE
GO:0001101,response to acid chemical,114,147,FALSE
GO:1901698,response to nitrogen compound,5,669,FALSE
GO:0071310,cellular response to organic substance,18,1957,FALSE
GO:0071229,cellular response to acid chemical,3,110,FALSE
GO:0043200,response to amino acid,33,41,FALSE
GO:0009719,response to endogenous stimulus,328,1083,FALSE
GO:0071417,cellular response to organonitrogen compound,30,383,FALSE
GO:1901699,cellular response to nitrogen compound,0,478,FALSE
GO:0010243,response to organonitrogen compound,162,549,FALSE
GO:1901701,cellular response to oxygen-containing compound,0,719,FALSE
GO:0010033,response to organic substance,761,2232,FALSE
GO:0071495,cellular response to endogenous stimulus,0,1000,FALSE
GO:0071230,cellular response to amino acid stimulus,26,33,FALSE
GO:1901700,response to oxygen-containing compound,0,907,FALSE
GO:0023052,signaling,11,5076,FALSE
GO:0035556,intracellular signal transduction,830,2259,FALSE
GO:0010646,regulation of cell communication,1953,2526,FALSE
GO:0007165,signal transduction,3011,4698,FALSE
GO:0009968,negative regulation of signal transduction,377,934,FALSE
GO:0023051,regulation of signaling,18,2564,FALSE
GO:0031929,TOR signaling,23,103,FALSE
GO:0032007,negative regulation of TOR signaling,39,41,FALSE
GO:0048585,negative regulation of response to stimulus,18,1194,FALSE
GO:0007154,cell communication,479,5089,FALSE
GO:1904262,negative regulation of TORC1 signaling,14,15,FALSE
GO:1902532,negative regulation of intracellular signal transduction,18,391,FALSE
GO:0032006,regulation of TOR signaling,84,86,FALSE
GO:0023057,negative regulation of signaling,1,988,FALSE
GO:0038202,TORC1 signaling,7,37,FALSE
GO:1903432,regulation of TORC1 signaling,5,30,FALSE
GO:1902531,regulation of intracellular signal transduction,973,1487,FALSE
GO:0009966,regulation of signal transduction,1842,2301,FALSE
GO:0010648,negative regulation of cell communication,14,983,FALSE
GO:0007166,cell surface receptor signaling pathway,1402,2282,FALSE
GO:0007224,smoothened signaling pathway,29,65,FALSE
GO:0060271,cilium assembly,185,361,FALSE
GO:0120031,plasma membrane bounded cell projection assembly,32,514,FALSE
GO:0035735,intraciliary transport involved in cilium assembly,40,40,TRUE
GO:0044782,cilium organization,195,376,FALSE
GO:0099111,microtubule-based transport,0,128,FALSE
GO:0010970,transport along microtubule,113,128,FALSE
GO:0031503,protein-containing complex localization,37,229,FALSE
GO:0030030,cell projection organization,290,1120,FALSE
GO:0006810,transport,2578,3982,FALSE
GO:0120036,plasma membrane bounded cell projection organization,190,1107,FALSE
GO:0051234,establishment of localization,2584,4081,FALSE
GO:0042073,intraciliary transport,48,49,FALSE
GO:0007018,microtubule-based movement,119,232,FALSE
GO:0051649,establishment of localization in cell,6,1845,FALSE
GO:0007017,microtubule-based process,56,639,FALSE
GO:0051641,cellular localization,171,2394,FALSE
GO:0030031,cell projection assembly,49,524,FALSE
GO:0046907,intracellular transport,394,1561,FALSE
GO:0030705,cytoskeleton-dependent intracellular transport,124,146,FALSE
GO:0016567,protein ubiquitination,403,528,FALSE
GO:0036211,protein modification process,2104,3232,FALSE
GO:0043412,macromolecule modification,5,3406,FALSE
GO:0032446,protein modification by small protein conjugation,422,570,FALSE
GO:0044267,cellular protein metabolic process,190,4118,FALSE
GO:0006464,cellular protein modification process,2104,3232,FALSE
GO:1901564,organonitrogen compound metabolic process,46,5477,FALSE
GO:0070647,protein modification by small protein conjugation or removal,422,808,FALSE
GO:0000209,protein polyubiquitination,225,236,FALSE
GO:0019538,protein metabolic process,2616,4506,FALSE
GO:0044257,cellular protein catabolic process,22,615,FALSE
GO:0043632,modification-dependent macromolecule catabolic process,335,494,FALSE
GO:0034976,response to endoplasmic reticulum stress,83,237,FALSE
GO:0030163,protein catabolic process,83,730,FALSE
GO:0006511,ubiquitin-dependent protein catabolic process,332,479,FALSE
GO:0006508,proteolysis,551,1344,FALSE
GO:0010498,proteasomal protein catabolic process,34,399,FALSE
GO:0030433,ubiquitin-dependent ERAD pathway,59,67,FALSE
GO:0051603,proteolysis involved in cellular protein catabolic process,57,566,FALSE
GO:1901565,organonitrogen compound catabolic process,3,1032,FALSE
GO:0019941,modification-dependent protein catabolic process,335,482,FALSE
GO:0036503,ERAD pathway,65,87,FALSE
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,209,348,FALSE
GO:0033554,cellular response to stress,499,1542,FALSE
GO:0042886,amide transport,806,1430,FALSE
GO:0008104,protein localization,503,2001,FALSE
GO:0071702,organic substance transport,330,1942,FALSE
GO:0030970,retrograde protein transport; ER to cytosol,16,27,FALSE
GO:0071705,nitrogen compound transport,807,1644,FALSE
GO:0032527,protein exit from endoplasmic reticulum,22,44,FALSE
GO:0045184,establishment of protein localization,47,1472,FALSE
GO:0015031,protein transport,722,1378,FALSE
GO:0033036,macromolecule localization,521,2236,FALSE
GO:0015833,peptide transport,806,1409,FALSE
GO:0034613,cellular protein localization,398,1525,FALSE
GO:0070727,cellular macromolecule localization,0,1534,FALSE
GO:1903513,endoplasmic reticulum to cytosol transport,0,27,FALSE
GO:0006886,intracellular protein transport,627,945,FALSE
GO:0051172,negative regulation of nitrogen compound metabolic process,0,1707,FALSE
GO:0097659,nucleic acid-templated transcription,1,2498,FALSE
GO:0009889,regulation of biosynthetic process,204,2850,FALSE
GO:0034654,nucleobase-containing compound biosynthetic process,24,2910,FALSE
GO:0019438,aromatic compound biosynthetic process,1,2960,FALSE
GO:1902679,negative regulation of RNA biosynthetic process,4,927,FALSE
GO:2000113,negative regulation of cellular macromolecule biosynthetic process,0,1086,FALSE
GO:0045892,negative regulation of transcription; DNA-templated,446,923,FALSE
GO:1901362,organic cyclic compound biosynthetic process,0,3078,FALSE
GO:0009059,macromolecule biosynthetic process,756,3624,FALSE
GO:1903507,negative regulation of nucleic acid-templated transcription,3,926,FALSE
GO:0034645,cellular macromolecule biosynthetic process,586,3521,FALSE
GO:0031323,regulation of cellular metabolic process,1657,4396,FALSE
GO:0000122,negative regulation of transcription by RNA polymerase II,571,594,FALSE
GO:0019219,regulation of nucleobase-containing compound metabolic process,240,2765,FALSE
GO:0044249,cellular biosynthetic process,16,4475,FALSE
GO:0006351,transcription; DNA-templated,348,2492,FALSE
GO:0051253,negative regulation of RNA metabolic process,0,998,FALSE
GO:2001141,regulation of RNA biosynthetic process,5,2311,FALSE
GO:0010556,regulation of macromolecule biosynthetic process,9,2710,FALSE
GO:0006355,regulation of transcription; DNA-templated,2023,2297,FALSE
GO:1903506,regulation of nucleic acid-templated transcription,2,2303,FALSE
GO:0031326,regulation of cellular biosynthetic process,25,2797,FALSE
GO:0032774,RNA biosynthetic process,261,2506,FALSE
GO:0009058,biosynthetic process,32,4591,FALSE
GO:2000112,regulation of cellular macromolecule biosynthetic process,0,2648,FALSE
GO:0009890,negative regulation of biosynthetic process,49,1158,FALSE
GO:0018130,heterocycle biosynthetic process,7,2961,FALSE
GO:0044271,cellular nitrogen compound biosynthetic process,2,3497,FALSE
GO:0045934,negative regulation of nucleobase-containing compound metabolic process,0,1100,FALSE
GO:1901576,organic substance biosynthetic process,0,4547,FALSE
GO:0051171,regulation of nitrogen compound metabolic process,326,4158,FALSE
GO:0031324,negative regulation of cellular metabolic process,36,1839,FALSE
GO:0031327,negative regulation of cellular biosynthetic process,20,1145,FALSE
GO:0080090,regulation of primary metabolic process,245,4289,FALSE
GO:0010558,negative regulation of macromolecule biosynthetic process,22,1110,FALSE
GO:0051252,regulation of RNA metabolic process,4,2539,FALSE
GO:0006357,regulation of transcription by RNA polymerase II,1456,1542,FALSE
GO:0006366,transcription by RNA polymerase II,286,1721,FALSE
GO:0001890,placenta development,13,43,FALSE
GO:0048608,reproductive structure development,24,142,FALSE
GO:0061458,reproductive system development,1,142,FALSE
GO:0003006,developmental process involved in reproduction,157,267,FALSE
GO:0001568,blood vessel development,36,412,FALSE
GO:0048514,blood vessel morphogenesis,51,385,FALSE
GO:0035295,tube development,64,551,FALSE
GO:0001944,vasculature development,15,432,FALSE
GO:0035239,tube morphogenesis,92,490,FALSE
GO:0072359,circulatory system development,0,632,FALSE
GO:0072358,cardiovascular system development,5,435,FALSE
GO:0002040,sprouting angiogenesis,27,96,FALSE
GO:0001525,angiogenesis,125,337,FALSE
GO:0044843,cell cycle G1/S phase transition,1,218,FALSE
GO:0007346,regulation of mitotic cell cycle,364,511,FALSE
GO:0007093,mitotic cell cycle checkpoint,37,156,FALSE
GO:0045930,negative regulation of mitotic cell cycle,53,228,FALSE
GO:0044773,mitotic DNA damage checkpoint,23,93,FALSE
GO:0048522,positive regulation of cellular process,136,4116,FALSE
GO:1902402,signal transduction involved in mitotic DNA damage checkpoint,1,58,FALSE
GO:1901990,regulation of mitotic cell cycle phase transition,117,302,FALSE
GO:0044783,G1 DNA damage checkpoint,1,63,FALSE
GO:2000045,regulation of G1/S transition of mitotic cell cycle,9,123,FALSE
GO:0071156,regulation of cell cycle arrest,28,101,FALSE
GO:0031570,DNA integrity checkpoint,17,147,FALSE
GO:0072422,signal transduction involved in DNA damage checkpoint,16,72,FALSE
GO:0030330,DNA damage response; signal transduction by p53 class mediator,75,101,FALSE
GO:0051726,regulation of cell cycle,618,934,FALSE
GO:0072395,signal transduction involved in cell cycle checkpoint,1,73,FALSE
GO:0000082,G1/S transition of mitotic cell cycle,83,203,FALSE
GO:0006974,cellular response to DNA damage stimulus,361,703,FALSE
GO:0045787,positive regulation of cell cycle,43,316,FALSE
GO:0044772,mitotic cell cycle phase transition,203,418,FALSE
GO:0031571,mitotic G1 DNA damage checkpoint,7,62,FALSE
GO:1902807,negative regulation of cell cycle G1/S phase transition,1,86,FALSE
GO:0072331,signal transduction by p53 class mediator,19,195,FALSE
GO:0042770,signal transduction in response to DNA damage,98,125,FALSE
GO:0044819,mitotic G1/S transition checkpoint,1,62,FALSE
GO:0072401,signal transduction involved in DNA integrity checkpoint,0,72,FALSE
GO:0044774,mitotic DNA integrity checkpoint,3,103,FALSE
GO:0048518,positive regulation of biological process,277,4708,FALSE
GO:0007050,cell cycle arrest,122,214,FALSE
GO:0072413,signal transduction involved in mitotic cell cycle checkpoint,0,58,FALSE
GO:0010564,regulation of cell cycle process,259,607,FALSE
GO:0072431,signal transduction involved in mitotic G1 DNA damage checkpoint,1,57,FALSE
GO:1901991,negative regulation of mitotic cell cycle phase transition,27,150,FALSE
GO:0045786,negative regulation of cell cycle,36,496,FALSE
GO:1902806,regulation of cell cycle G1/S phase transition,4,137,FALSE
GO:0010948,negative regulation of cell cycle process,77,256,FALSE
GO:0044770,cell cycle phase transition,211,454,FALSE
GO:1903047,mitotic cell cycle process,0,698,FALSE
GO:1902400,intracellular signal transduction involved in G1 DNA damage checkpoint,1,57,FALSE
GO:1902403,signal transduction involved in mitotic DNA integrity checkpoint,0,58,FALSE
GO:0000075,cell cycle checkpoint,68,199,FALSE
GO:0090068,positive regulation of cell cycle process,13,223,FALSE
GO:0000278,mitotic cell cycle,128,817,FALSE
GO:2000134,negative regulation of G1/S transition of mitotic cell cycle,24,84,FALSE
GO:0071158,positive regulation of cell cycle arrest,22,76,FALSE
GO:1901987,regulation of cell cycle phase transition,9,330,FALSE
GO:0006977,DNA damage response; signal transduction by p53 class mediator resulting in cell cycle arrest,56,56,TRUE
GO:0000077,DNA damage checkpoint,59,134,FALSE
GO:1901988,negative regulation of cell cycle phase transition,3,165,FALSE
GO:0051302,regulation of cell division,16,105,FALSE
GO:0032466,negative regulation of cytokinesis,6,6,TRUE
GO:0032465,regulation of cytokinesis,63,77,FALSE
GO:0000910,cytokinesis,68,141,FALSE
GO:0051782,negative regulation of cell division,5,12,FALSE
GO:0051301,cell division,36,212,FALSE
GO:0009893,positive regulation of metabolic process,313,2825,FALSE
GO:0090329,regulation of DNA-dependent DNA replication,9,44,FALSE
GO:0032875,regulation of DNA endoreduplication,2,8,FALSE
GO:0042023,DNA endoreduplication,1,9,FALSE
GO:0009891,positive regulation of biosynthetic process,129,1498,FALSE
GO:0031325,positive regulation of cellular metabolic process,66,2580,FALSE
GO:0051173,positive regulation of nitrogen compound metabolic process,1,2485,FALSE
GO:0006275,regulation of DNA replication,52,81,FALSE
GO:0006261,DNA-dependent DNA replication,31,125,FALSE
GO:0051054,positive regulation of DNA metabolic process,10,169,FALSE
GO:0045740,positive regulation of DNA replication,16,23,FALSE
GO:2000105,positive regulation of DNA-dependent DNA replication,1,9,FALSE
GO:0045935,positive regulation of nucleobase-containing compound metabolic process,0,1438,FALSE
GO:0044786,cell cycle DNA replication,4,52,FALSE
GO:0006259,DNA metabolic process,588,794,FALSE
GO:0051052,regulation of DNA metabolic process,184,325,FALSE
GO:0010604,positive regulation of macromolecule metabolic process,30,2610,FALSE
GO:0010557,positive regulation of macromolecule biosynthetic process,63,1417,FALSE
GO:0006260,DNA replication,113,212,FALSE
GO:0031328,positive regulation of cellular biosynthetic process,46,1475,FALSE
GO:0032877,positive regulation of DNA endoreduplication,2,2,TRUE
GO:0033301,cell cycle comprising mitosis without cytokinesis,1,1,TRUE
GO:0051254,positive regulation of RNA metabolic process,3,1291,FALSE
GO:0045944,positive regulation of transcription by RNA polymerase II,840,901,FALSE
GO:1902680,positive regulation of RNA biosynthetic process,1,1221,FALSE
GO:0045893,positive regulation of transcription; DNA-templated,502,1218,FALSE
GO:0010628,positive regulation of gene expression,331,1541,FALSE
GO:1903508,positive regulation of nucleic acid-templated transcription,0,1220,FALSE
GO:0048568,embryonic organ development,15,174,FALSE
GO:0001701,in utero embryonic development,30,61,FALSE
GO:0060706,cell differentiation involved in embryonic placenta development,6,6,TRUE
GO:0043009,chordate embryonic development,32,186,FALSE
GO:0060707,trophoblast giant cell differentiation,3,3,TRUE
GO:0009790,embryo development,46,435,FALSE
GO:0009792,embryo development ending in birth or egg hatching,46,200,FALSE
GO:0001892,embryonic placenta development,6,22,FALSE
GO:0060718,chorionic trophoblast cell differentiation,2,2,TRUE
GO:0060717,chorion development,0,2,FALSE
GO:1903867,extraembryonic membrane development,2,4,FALSE
GO:0001889,liver development,22,38,FALSE
GO:0060429,epithelium development,38,789,FALSE
GO:0061008,hepaticobiliary system development,0,39,FALSE
GO:0030855,epithelial cell differentiation,192,546,FALSE
GO:0070365,hepatocyte differentiation,6,7,FALSE
GO:0048732,gland development,65,146,FALSE
GO:0006929,substrate-dependent cell migration,5,19,FALSE
GO:0006930,substrate-dependent cell migration; cell extension,7,7,TRUE
GO:0007265,Ras protein signal transduction,208,299,FALSE
GO:0007264,small GTPase mediated signal transduction,234,409,FALSE
GO:0031175,neuron projection development,128,603,FALSE
GO:0048667,cell morphogenesis involved in neuron differentiation,7,367,FALSE
GO:0048699,generation of neurons,7,896,FALSE
GO:0048468,cell development,240,1253,FALSE
GO:0048858,cell projection morphogenesis,130,437,FALSE
GO:0007409,axonogenesis,66,294,FALSE
GO:0000902,cell morphogenesis,108,679,FALSE
GO:0000904,cell morphogenesis involved in differentiation,76,478,FALSE
GO:0030182,neuron differentiation,107,812,FALSE
GO:0048812,neuron projection morphogenesis,129,424,FALSE
GO:0032989,cellular component morphogenesis,108,749,FALSE
GO:0007399,nervous system development,188,1412,FALSE
GO:0022008,neurogenesis,36,940,FALSE
GO:0032990,cell part morphogenesis,0,447,FALSE
GO:0120039,plasma membrane bounded cell projection morphogenesis,129,436,FALSE
GO:0061564,axon development,8,312,FALSE
GO:0048666,neuron development,59,666,FALSE
GO:0032488,Cdc42 protein signal transduction,8,15,FALSE
GO:0007266,Rho protein signal transduction,65,115,FALSE
GO:0038007,netrin-activated signaling pathway,3,7,FALSE
GO:0060284,regulation of cell development,0,533,FALSE
GO:0060560,developmental growth involved in morphogenesis,10,122,FALSE
GO:0048639,positive regulation of developmental growth,5,74,FALSE
GO:0050772,positive regulation of axonogenesis,20,41,FALSE
GO:0045597,positive regulation of cell differentiation,289,621,FALSE
GO:0051130,positive regulation of cellular component organization,29,920,FALSE
GO:0061387,regulation of extent of cell growth,0,57,FALSE
GO:0090066,regulation of anatomical structure size,51,307,FALSE
GO:0022604,regulation of cell morphogenesis,184,334,FALSE
GO:0010976,positive regulation of neuron projection development,85,151,FALSE
GO:0001558,regulation of cell growth,250,288,FALSE
GO:0051962,positive regulation of nervous system development,1,267,FALSE
GO:0048588,developmental cell growth,40,115,FALSE
GO:0010975,regulation of neuron projection development,154,288,FALSE
GO:0051240,positive regulation of multicellular organismal process,12,1164,FALSE
GO:1990138,neuron projection extension,32,98,FALSE
GO:0045927,positive regulation of growth,13,146,FALSE
GO:0031344,regulation of cell projection organization,169,453,FALSE
GO:0010770,positive regulation of cell morphogenesis involved in differentiation,65,84,FALSE
GO:0032535,regulation of cellular component size,160,242,FALSE
GO:0016049,cell growth,40,323,FALSE
GO:0030516,regulation of axon extension,8,53,FALSE
GO:0048675,axon extension,21,71,FALSE
GO:0120035,regulation of plasma membrane bounded cell projection organization,9,448,FALSE
GO:0045773,positive regulation of axon extension,18,19,FALSE
GO:0031346,positive regulation of cell projection organization,38,231,FALSE
GO:0050770,regulation of axonogenesis,27,106,FALSE
GO:0008361,regulation of cell size,44,101,FALSE
GO:0050769,positive regulation of neurogenesis,21,238,FALSE
GO:0050767,regulation of neurogenesis,277,446,FALSE
GO:0045666,positive regulation of neuron differentiation,38,190,FALSE
GO:0045664,regulation of neuron differentiation,230,360,FALSE
GO:0010769,regulation of cell morphogenesis involved in differentiation,58,193,FALSE
GO:0022603,regulation of anatomical structure morphogenesis,425,731,FALSE
GO:0010720,positive regulation of cell development,108,288,FALSE
GO:0051094,positive regulation of developmental process,41,869,FALSE
GO:0065008,regulation of biological quality,1414,2912,FALSE
GO:0045595,regulation of cell differentiation,739,1168,FALSE
GO:0030307,positive regulation of cell growth,82,104,FALSE
GO:0051960,regulation of nervous system development,278,489,FALSE
GO:0060327,cytoplasmic actin-based contraction involved in cell motility,2,2,TRUE
GO:0070252,actin-mediated cell contraction,44,102,FALSE
GO:0030029,actin filament-based process,6,598,FALSE
GO:0030048,actin filament-based movement,61,121,FALSE
GO:0007163,establishment or maintenance of cell polarity,84,151,FALSE
GO:0007029,endoplasmic reticulum organization,32,45,FALSE
GO:0010256,endomembrane system organization,2,337,FALSE
GO:0061163,endoplasmic reticulum polarization,1,1,TRUE
GO:0070650,actin filament bundle distribution,1,1,TRUE
GO:0061572,actin filament bundle organization,3,126,FALSE
